GAP인증번호,인증기관,개인_단체 구분명,유효기간 시작일,유효기간 종료일,품목,주소,등록 농가수,등록 필지수,재배면적,생산계획량,지정일자
1018041,아이센(주),개인,2021-09-17,2023-09-16,블루베리,경상북도 경주시,1,2,2690,1.45,2021-09-17
1018040,아이센(주),개인,2021-09-17,2023-09-16,루비에스,경상북도 경주시,1,2,3526,6,2021-09-17
1018039,아이센(주),개인,2021-09-17,2023-09-16,토마토,경상북도 경주시,1,3,6537,47.6,2021-09-17
1018038,아이센(주),개인,2021-09-17,2023-09-16,부추,경상북도 경주시,1,11,2055,9.8,2021-09-17
1018037,아이센(주),개인,2021-09-17,2023-09-16,포도,경상북도 경주시,1,3,3714,6.23,2021-09-17
1018036,아이센(주),개인,2021-09-17,2023-09-16,대파,경상북도 경주시,1,6,3762,15.5,2021-09-17
1018035,아이센(주),개인,2021-09-17,2023-09-16,고추,경상북도 경주시,1,4,3137,20,2021-09-17
1018034,아이센(주),개인,2021-09-17,2023-09-16,꾸지뽕,경상북도 포항시 북구,1,3,4801,0.81,2021-09-17
1018033,친환경농업연구원 주식회사,단체,2021-09-17,2023-09-16,쌀,경기도 안성시,75,480,1164460,784.02,2021-09-17
1018032,친환경농업연구원 주식회사,단체,2021-09-17,2023-09-16,쌀,경기도 안성시,44,307,694948,563.5,2021-09-17
1018031,친환경농업연구원 주식회사,단체,2021-09-17,2023-09-16,쌀,경기도 안성시,56,423,944697,694.46,2021-09-17
1018030,㈔한국생약협회,개인,2021-09-17,2024-09-16,작약,강원도 원주시,1,1,1650,1.5,2021-09-17
1018029,유한회사 빛그린인증원,단체,2021-09-17,2023-09-16,쌀,전라남도 진도군,48,278,648787.6,364.28,2021-09-17
1018028,주식회사 농식품인증관리원,개인,2021-09-17,2023-09-16,새송이버섯,경상북도 경주시,1,1,2000,300,2021-09-17
1018027,주식회사 농식품인증관리원,개인,2021-09-17,2023-09-16,표고버섯,충청북도 괴산군,1,1,1973,19.7,2021-09-17
1018026,주식회사 농식품인증관리원,개인,2021-09-17,2023-09-16,표고버섯,충청북도 괴산군,1,1,1000,10,2021-09-17
1018025,주식회사 농식품인증관리원,개인,2021-09-17,2023-09-16,표고버섯,충청북도 괴산군,1,1,3300,33,2021-09-17
1018024,주식회사 농식품인증관리원,개인,2021-09-17,2023-09-16,표고버섯,충청북도 괴산군,1,1,3110,31.1,2021-09-17
1018023,주식회사 농식품인증관리원,개인,2021-09-17,2023-09-16,표고버섯,충청북도 괴산군,1,2,2872,28.7,2021-09-17
1018022,(주)자연들농식품인증원,개인,2021-09-17,2023-09-16,가지,전라북도 군산시,1,1,3871.6,55,2021-09-17
1018020,농업법인플럼코트맘(주),단체,2021-09-16,2023-09-15,쌀,광주광역시 남구,131,615,1155779,922.25,2021-09-16
1018019,(주)미래친환경농업인증센터,개인,2021-09-17,2023-09-16,단감,광주광역시 서구,1,8,18674.4,31.63,2021-09-17
1018018,아이센(주),단체,2021-09-16,2023-09-15,쌀,울산광역시 울주군,41,157,224792,162.54,2021-09-16
1018017,친환경농업연구원 주식회사,단체,2021-09-16,2023-09-15,상추,경기도 남양주시,9,77,16420,54.5,2021-09-16
1018016,친환경농업연구원 주식회사,법인,2021-09-16,2023-09-15,도라지,경기도 남양주시,3,19,13130,27.31,2021-09-16
1018015,친환경농업연구원 주식회사,개인,2021-09-16,2023-09-15,표고버섯,충청남도 부여군,1,3,2850,40,2021-09-16
1018014,경상국립대학교 산학협력단,개인,2021-09-16,2023-09-15,딸기,경상남도 산청군,1,2,2747,13,2021-09-16
1018013,농업회사법인(주)대한농업회,단체,2021-09-16,2023-09-15,상추,충청남도 논산시,5,10,28216,17.9,2021-09-16
1018012,농업회사법인(주)대한농업회,개인,2021-09-16,2023-09-15,당근,충청남도 논산시,1,9,10920,29.5,2021-09-16
1018011,주식회사 농식품인증관리원,개인,2021-09-16,2023-09-15,벼,경상남도 창원시 의창구,1,28,77083.9,61.65,2021-09-16
